Date,Price,Open,High,Low,Vol.,Change %
8-Jul-20,11.12,11.24,11.24,11.12,1.67M,-1.59%
7-Jul-20,11.3,11.26,11.36,11.26,4.16M,0.89%
6-Jul-20,11.2,11.22,11.26,11.2,4.18M,-0.18%
5-Jul-20,11.22,11.28,11.28,11.22,445.71K,0.18%
2-Jul-20,11.2,11.2,11.24,11.16,5.79M,0.54%
1-Jul-20,11.14,11.16,11.36,11.12,2.83M,-0.89%
30-Jun-20,11.24,11.14,11.24,11.04,3.83M,1.81%
29-Jun-20,11.04,11.16,11.16,11,3.96M,-1.43%
28-Jun-20,11.2,11,11.3,11,1.29M,1.45%
25-Jun-20,11.04,11.18,11.18,10.98,3.39M,-1.60%
24-Jun-20,11.22,11.3,11.4,11.16,2.44M,-0.36%
23-Jun-20,11.26,11.44,11.46,11.26,4.77M,-1.40%
22-Jun-20,11.42,11.5,11.5,11.4,1.83M,-0.70%
21-Jun-20,11.5,11.4,11.5,11.4,704.23K,0.88%
18-Jun-20,11.4,11.48,11.58,11.32,7.90M,-1.72%
17-Jun-20,11.6,11.42,11.6,11.22,5.77M,1.58%
16-Jun-20,11.42,11.46,11.52,11.22,3.38M,2.15%
15-Jun-20,11.18,11.18,11.24,11.12,3.23M,-1.41%
14-Jun-20,11.34,11.4,11.4,11.18,928.46K,-0.70%
11-Jun-20,11.42,11.54,11.54,11.22,3.61M,-2.39%
10-Jun-20,11.7,11.64,11.72,11.58,4.18M,0.52%
9-Jun-20,11.64,11.88,11.88,11.48,1.69M,-0.85%
8-Jun-20,11.74,11.92,11.98,11.54,4.77M,-2.33%
7-Jun-20,12.02,11.68,12.04,11.64,4.14M,4.16%
4-Jun-20,11.54,11.42,11.54,11.42,4.53M,0.35%
3-Jun-20,11.5,11.48,11.5,11.38,9.40M,0.17%
2-Jun-20,11.48,11.16,11.48,11.16,4.45M,2.68%
1-Jun-20,11.18,11.2,11.22,11.12,1.99M,0.36%
31-May-20,11.14,11.2,11.2,11.1,1.10M,0.54%
28-May-20,11.08,11.1,11.32,11.06,9.11M,-0.89%
27-May-20,11.18,11.38,11.38,11.16,1.96M,-0.18%
21-May-20,11.2,11.2,11.4,11.2,1.09M,-0.88%
20-May-20,11.3,11,11.3,11,1.57M,2.36%
19-May-20,11.04,11.12,11.2,11.04,1.96M,0.00%
18-May-20,11.04,11.08,11.12,11.04,1.87M,-0.36%
17-May-20,11.08,11.04,11.12,11,871.76K,0.00%
