Date,Price,Open,High,Low,Vol.,Change %
21-May-20,2.8,2.79,2.8,2.79,5.68M,0.36%
20-May-20,2.79,2.79,2.8,2.78,3.05M,0.00%
19-May-20,2.79,2.8,2.8,2.79,5.81M,-1.41%
18-May-20,2.83,2.79,2.83,2.79,10.73M,1.07%
17-May-20,2.8,2.8,2.81,2.8,2.41M,0.72%
14-May-20,2.78,2.79,2.8,2.78,1.54M,-0.71%
13-May-20,2.8,2.76,2.8,2.76,1.81M,1.08%
12-May-20,2.77,2.79,2.79,2.75,1.70M,-1.07%
11-May-20,2.8,2.8,2.8,2.79,2.48M,0.00%
10-May-20,2.8,2.79,2.81,2.76,1.09M,0.36%
7-May-20,2.79,2.79,2.8,2.77,717.05K,-0.36%
6-May-20,2.8,2.8,2.8,2.77,4.44M,0.72%
5-May-20,2.78,2.78,2.8,2.78,551.56K,0.36%
4-May-20,2.77,2.75,2.79,2.75,12.55K,-0.36%
3-May-20,2.78,2.8,2.81,2.77,863.53K,-0.71%
30-Apr-20,2.8,2.8,2.81,2.79,10.93M,-0.36%
29-Apr-20,2.81,2.83,2.83,2.8,2.34M,0.00%
28-Apr-20,2.81,2.81,2.82,2.8,1.66M,0.36%
27-Apr-20,2.8,2.76,2.82,2.75,6.91M,1.82%
26-Apr-20,2.75,2.77,2.79,2.62,2.27M,0.00%
23-Apr-20,2.75,2.77,2.77,2.72,21.45M,0.00%
22-Apr-20,2.75,2.72,2.76,2.7,2.03M,0.00%
21-Apr-20,2.75,2.71,2.75,2.63,5.70M,0.00%
20-Apr-20,2.75,2.8,2.8,2.72,227.25K,0.00%
19-Apr-20,2.75,2.75,2.79,2.74,2.18M,0.00%
16-Apr-20,2.75,2.77,2.77,2.72,4.47M,-1.79%
15-Apr-20,2.8,2.8,2.8,2.76,418.26K,0.00%
14-Apr-20,2.8,2.8,2.8,2.77,891.22K,0.00%
13-Apr-20,2.8,2.8,2.83,2.77,11.83M,0.00%
12-Apr-20,2.8,2.8,2.82,2.78,1.57M,0.36%
9-Apr-20,2.79,2.73,2.8,2.73,3.63M,-2.79%
8-Apr-20,2.87,2.9,2.9,2.83,2.69M,-1.03%
7-Apr-20,2.9,3,3,2.9,5.02M,-3.33%
6-Apr-20,3,2.85,3,2.85,3.62M,5.26%
5-Apr-20,2.85,2.84,2.85,2.8,2.41M,0.71%
2-Apr-20,2.83,2.78,2.83,2.75,6.81M,2.91%
1-Apr-20,2.75,2.74,2.78,2.71,1.04M,1.85%
31-Mar-20,2.7,2.69,2.9,2.64,4.17M,-0.37%
30-Mar-20,2.71,2.7,2.73,2.62,829.06K,0.37%
29-Mar-20,2.7,2.62,2.75,2.6,20.23M,0.00%
26-Mar-20,2.7,2.58,2.94,2.56,4.63M,5.47%
25-Mar-20,2.56,2.44,2.6,2.44,2.80M,4.92%
24-Mar-20,2.44,2.41,2.59,2.41,1.51M,1.67%
23-Mar-20,2.4,2.51,2.51,2.4,1.54M,-4.76%
22-Mar-20,2.52,2.52,2.6,2.52,179.29K,-1.18%
19-Mar-20,2.55,2.61,2.61,2.54,5.79M,-1.92%
18-Mar-20,2.6,2.52,2.64,2.52,196.50K,1.96%
17-Mar-20,2.55,2.6,2.68,2.52,662.10K,-1.92%
16-Mar-20,2.6,2.61,2.7,2.6,1.48M,-2.99%
15-Mar-20,2.68,2.77,2.77,2.6,1.80M,-0.74%
