Date,Price,Open,High,Low,Vol.,Change %
5-Nov-19,5.4,5.4,5.42,5.4,480.56K,0.00%
4-Nov-19,5.4,5.55,5.55,5.4,246.23K,-3.57%
3-Nov-19,5.6,5.48,5.6,5.48,7.72K,0.00%
31-Oct-19,5.6,5.53,5.6,5.51,113.35K,1.63%
30-Oct-19,5.51,5.59,5.6,5.25,978.40K,-1.96%
29-Oct-19,5.62,5.61,5.63,5.61,46.73K,-0.53%
28-Oct-19,5.65,5.65,5.65,5.65,548.32K,0.00%
27-Oct-19,5.65,5.7,5.7,5.63,25.72K,0.18%
24-Oct-19,5.64,5.7,5.7,5.63,11.81K,-1.05%
23-Oct-19,5.7,5.7,5.7,5.63,15.12K,0.00%
22-Oct-19,5.7,5.66,5.7,5.57,407.38K,0.53%
21-Oct-19,5.67,5.55,5.67,5.55,261.31K,1.25%
20-Oct-19,5.6,5.58,5.6,5.58,123.02K,-1.58%
17-Oct-19,5.69,5.58,5.69,5.58,319.84K,0.71%
16-Oct-19,5.65,5.56,5.65,5.56,323.00K,0.00%
15-Oct-19,5.65,5.65,5.65,5.55,207.46K,1.62%
14-Oct-19,5.56,5.52,5.57,5.52,13.08K,0.18%
13-Oct-19,5.55,5.55,5.65,5.55,18.81K,-1.77%
10-Oct-19,5.65,5.52,5.65,5.52,55.11K,1.80%
9-Oct-19,5.55,5.55,5.6,5.55,91.95K,-0.18%
8-Oct-19,5.56,5.53,5.63,5.53,18.39K,-0.71%
7-Oct-19,5.6,5.63,5.63,5.51,219.63K,0.00%
6-Oct-19,5.6,5.63,5.63,5.59,245.31K,0.18%
3-Oct-19,5.59,5.59,5.63,5.59,567.50K,0.18%
2-Oct-19,5.58,5.5,5.69,5.5,17.92K,-0.36%
1-Oct-19,5.6,5.62,5.62,5.6,130.82K,-0.18%
30-Sep-19,5.61,5.6,5.7,5.6,9.03K,0.18%
29-Sep-19,5.6,5.59,5.6,5.59,24.22K,0.18%
26-Sep-19,5.59,5.58,5.6,5.58,90.81K,0.18%
25-Sep-19,5.58,5.64,5.64,5.5,101.69K,-1.06%
24-Sep-19,5.64,5.62,5.64,5.62,7.77K,0.00%
23-Sep-19,5.64,5.61,5.64,5.61,2.07K,-1.91%
22-Sep-19,5.75,5.74,5.75,5.74,121.90K,0.17%
19-Sep-19,5.74,5.69,5.74,5.69,261.44K,1.06%
18-Sep-19,5.68,5.62,5.68,5.62,504.02K,1.07%
17-Sep-19,5.62,5.61,5.65,5.61,225.95K,-0.35%
16-Sep-19,5.64,5.61,5.65,5.61,153.10K,0.53%
15-Sep-19,5.61,5.65,5.66,5.6,90.47K,-1.41%
12-Sep-19,5.69,5.65,5.69,5.6,163.09K,0.71%
11-Sep-19,5.65,5.65,5.65,5.65,31.69K,-0.35%
10-Sep-19,5.67,5.75,5.75,5.6,301.81K,-1.22%
9-Sep-19,5.74,5.73,5.76,5.71,65.14K,0.17%
8-Sep-19,5.73,5.73,5.73,5.71,21.20K,0.00%
5-Sep-19,5.73,5.67,5.75,5.67,431.58K,1.24%
4-Sep-19,5.66,5.67,5.71,5.66,118.87K,-0.35%
3-Sep-19,5.68,5.7,5.75,5.68,583.64K,-1.22%
2-Sep-19,5.75,5.5,5.8,5.5,2.38M,6.48%
