Date,Price,Open,High,Low,Vol.,Change %
17-Feb-20,160,164,166,159,1.62M,0.63%
16-Feb-20,159,166,168,153,545.02K,-5.92%
13-Feb-20,169,169,170,167,421.61K,0.60%
12-Feb-20,168,170,170,167,451.68K,-0.59%
11-Feb-20,169,172,172,165,745.91K,-0.59%
10-Feb-20,170,170,173,169,2.64M,-1.16%
9-Feb-20,172,172,174,171,1.89M,0.58%
6-Feb-20,171,172,173,170,10.34M,0.00%
5-Feb-20,171,171,174,169,3.57M,-0.58%
4-Feb-20,172,170,173,169,2.18M,0.58%
3-Feb-20,171,173,177,170,8.32M,-1.72%
2-Feb-20,174,173,179,167,1.29M,-2.79%
30-Jan-20,179,179,180,175,1.02M,-0.56%
29-Jan-20,180,183,184,175,5.10M,1.69%
28-Jan-20,177,172,177,168,8.25M,9.94%
27-Jan-20,161,153,161,151,2.52M,3.87%
26-Jan-20,155,156,158,153,1.72M,-1.27%
23-Jan-20,157,164,164,152,10.91M,-5.42%
22-Jan-20,166,174,180,152,9.58M,-5.14%
21-Jan-20,175,171,176,167,5.98M,4.17%
20-Jan-20,168,161,168,160,3.78M,7.69%
19-Jan-20,156,154,159,153,1.97M,0.65%
16-Jan-20,155,152,158,150,4.69M,6.16%
15-Jan-20,146,138,149,132,4.96M,5.80%
14-Jan-20,138,130,140,130,3.57M,8.66%
9-Jan-20,127,124,128,123,4.72M,12.39%
8-Jan-20,113,111,116,111,993.66K,-2.59%
7-Jan-20,116,114,117,112,718.25K,2.65%
6-Jan-20,113,101,114,101,1.44M,8.65%
5-Jan-20,104,115,116,104,1.81M,-12.61%
31-Dec-19,119,118,119,115,1.05M,1.71%
30-Dec-19,117,116,118,114,719.37K,0.86%
29-Dec-19,116,115,117,114,380.16K,-1.69%
26-Dec-19,118,120,120,114,552.04K,0.00%
25-Dec-19,118,114,121,114,2.24M,3.51%
24-Dec-19,114,118,120,113,1.06M,-4.20%
23-Dec-19,119,122,124,112,4.55M,-4.03%
22-Dec-19,124,130,130,123,706.30K,-3.13%
19-Dec-19,128,129,131,127,438.14K,0.00%
18-Dec-19,128,123,130,120,3.38M,2.40%
17-Dec-19,125,124,125,122,117.28K,2.46%
16-Dec-19,122,126,126,121,150.83K,-2.40%
15-Dec-19,125,126,126,123,223.30K,1.63%
12-Dec-19,123,128,128,120,1.38M,-3.15%
11-Dec-19,127,128,128,120,181.88K,2.42%
10-Dec-19,124,128,128,123,249.19K,-3.13%
9-Dec-19,128,127,128,127,314.62K,0.79%
