Date,Open,High,Low,Close,Adj Close,Volume
9/3/20,9.32,9.32,9.32,9.32,9.32,2904381
8/3/20,11.1,11.1,10.35,10.35,10.35,2886699
5/3/20,11.65,11.65,11.3,11.45,11.45,1424519
4/3/20,12.05,12.05,11.5,11.8,11.8,2034251
3/3/20,12.05,12.25,11.95,12.1,12.1,1878139
2/3/20,11.9,12.15,11.75,12,12,3474526
1/3/20,11.95,11.95,11.3,11.7,11.7,6341135
2/27/20,12.8,12.9,12.4,12.55,12.55,2599900
2/26/20,13,13,12.8,12.8,12.8,5568766
2/25/20,13,13.1,12.95,13.05,13.05,4996541
